resource_id,topic,type,level
r1,math,paper,"grade_9,grade_10,grade_11"
r2,english,digital,"grade_9,grade_10,grade_11"
r3,literature,paper,"grade_9,grade_10,grade_11"
r4,english,paper,"grade_11,grade_12"
r5,math,paper,"grade_6,grade_7"
r6,biology,paper,"grade_6,grade_7"
r7,physics,paper,"grade_6,grade_7"
r8,english,paper,"grade_6,grade_7"
r9,physics,paper,"grade_11,grade_12"
r10,biology,paper,"grade_11,grade_12"
r11,biology,digital,"grade_11,grade_12"
r12,chemistry,paper,"grade_11,grade_12"
r13,math,digital,"grade_11,grade_12"
r14,english,paper,"grade_11,grade_12"
r15,history,paper,"grade_11,grade_12"
r16,literature,paper,"grade_11,grade_12"
r17,physics,digital,"grade_6,grade_7"
r18,physics,digital,"grade_11,grade_12"
r19,english,paper,"grade_6,grade_7"
r20,math,paper,"grade_11,grade_12"
r21,physics,paper,"grade_11,grade_12"
r22,literature,paper,"grade_6,grade_7"
r23,literature,paper,"grade_11,grade_12"
r24,chemistry,paper,"grade_9,grade_10,grade_11"
r25,geography,digital,"grade_11,grade_12"
